Tray_num	Plant_num	Plant_pos	Tray_pos	Accession	Treatment	x	y	Camerahead
8	48	1	1	LK93	4uM	2820	663	14
8	44	2	1	LK70	4uM	3573	663	14
8	45	3	1	LK89	4uM	2660	1381	14
8	43	4	1	LK70	4uM	3408	1383	14
8	47	5	1	LK93	4uM	2798	2090	14
8	46	6	1	LK89	4uM	3550	2090	14
13	76	1	2	LK89	16uM	2796	798	13
13	75	2	2	LK89	16uM	3567	819	13
13	73	3	2	LK70	16uM	2634	1536	13
13	77	4	2	LK93	16uM	3402	1536	13
13	74	5	2	LK70	16uM	2787	2247	13
13	78	6	2	LK93	16uM	3537	2247	13
18	104	1	3	LK70	20uM	2792	608	12
18	103	2	3	LK70	20uM	3548	636	12
18	107	3	3	LK93	20uM	2596	1340	12
18	105	4	3	LK89	20uM	3392	1364	12
18	108	5	3	LK93	20uM	2732	2083	12
18	106	6	3	LK89	20uM	3500	2095	12
12	71	1	4	LK93	8uM	2802	723	11
12	67	2	4	LK70	8uM	3573	741	11
12	70	3	4	LK89	8uM	2643	1443	11
12	69	4	4	LK89	8uM	3390	1443	11
12	72	5	4	LK93	8uM	2763	2145	11
12	68	6	4	LK70	8uM	3507	2151	11
3	18	1	5	LK93	N.C	2820	816	10
3	14	2	5	LK70	N.C	3585	834	10
3	16	3	5	LK89	N.C	2661	1539	10
3	15	4	5	LK89	N.C	3420	1551	10
3	13	5	5	LK70	N.C	2790	2268	10
3	17	6	5	LK93	N.C	3555	2268	10
10	56	1	6	LK70	8uM	2793	762	9
10	57	2	6	LK89	8uM	3549	783	9
10	55	3	6	LK70	8uM	2616	1476	9
10	59	4	6	LK93	8uM	3387	1503	9
10	60	5	6	LK93	8uM	2760	2208	9
10	58	6	6	LK89	8uM	3525	2229	9
5	27	1	7	LK89	2uM	2780	585	8
5	25	2	7	LK70	2uM	3532	573	8
5	26	3	7	LK70	2uM	2636	1289	8
5	29	4	7	LK93	2uM	3384	1301	8
5	28	5	7	LK89	2uM	2788	2013	8
5	30	6	7	LK93	2uM	3552	2013	8
9	54	1	8	LK93	4uM	2028	498	2
9	51	2	8	LK89	4uM	1877	698	14
9	49	3	8	LK70	4uM	2730	642	2
9	53	4	8	LK93	4uM	1148	530	14
9	50	5	8	LK70	4uM	3432	504	2
9	52	6	8	LK89	4uM	423	696	14
2	8	1	9	LK70	N.C	1890	1515	14
2	11	2	9	LK93	N.C	1878	2123	14
2	12	3	9	LK93	N.C	1157	1369	14
2	10	4	9	LK89	N.C	1163	2130	14
2	7	5	9	LK70	N.C	448	1528	14
2	9	6	9	LK89	N.C	464	2269	14
17	98	1	10	LK70	20uM	1872	852	13
17	97	2	10	LK70	20uM	1856	1628	13
17	100	3	10	LK89	20uM	1148	684	13
17	102	4	10	LK93	20uM	1140	1468	13
17	101	5	10	LK93	20uM	420	848	13
17	99	6	10	LK89	20uM	428	1604	13
16	91	1	11	LK70	20uM	1860	2436	13
16	96	2	11	LK93	20uM	1830	666	12
16	92	3	11	LK70	20uM	1144	2272	13
16	95	4	11	LK93	20uM	1080	486	12
16	94	5	11	LK89	20uM	408	2404	13
16	93	6	11	LK89	20uM	354	630	12
11	64	1	12	LK89	8uM	1806	1488	12
11	61	2	12	LK70	8uM	1788	2256	12
11	66	3	12	LK93	8uM	1080	1320	12
11	63	4	12	LK89	8uM	1068	2088	12
11	65	5	12	LK93	8uM	354	1458	12
11	62	6	12	LK70	8uM	342	2226	12
7	42	1	13	LK93	4uM	1872	752	11
7	37	2	13	LK70	4uM	1860	1524	11
7	38	3	13	LK70	4uM	1140	592	11
7	40	4	13	LK89	4uM	1140	1344	11
7	39	5	13	LK89	4uM	420	732	11
7	41	6	13	LK93	4uM	424	1500	11
14	79	1	14	LK70	16uM	1840	2296	11
14	83	2	14	LK93	16uM	1880	836	10
14	81	3	14	LK89	16uM	1116	2148	11
14	82	4	14	LK89	16uM	1148	676	10
14	84	5	14	LK93	16uM	416	2280	11
14	80	6	14	LK70	16uM	420	816	10
4	24	1	15	LK93	2uM	1860	1656	10
4	23	2	15	LK93	2uM	1840	2420	10
4	19	3	15	LK70	2uM	1140	1488	10
4	22	4	15	LK89	2uM	1136	2261	10
4	21	5	15	LK89	2uM	420	1617	10
4	20	6	15	LK70	2uM	420	2385	10
6	33	1	16	LK89	2uM	1856	788	9
6	32	2	16	LK70	2uM	1841	1560	9
6	35	3	16	LK93	2uM	1136	612	9
6	36	4	16	LK93	2uM	1120	1396	9
6	31	5	16	LK70	2uM	404	764	9
6	34	6	16	LK89	2uM	392	1536	9
15	88	1	17	LK89	16uM	1824	2380	9
15	86	2	17	LK70	16uM	1844	632	8
15	90	3	17	LK93	16uM	1108	2212	9
15	89	4	17	LK93	16uM	1132	492	8
15	85	5	17	LK70	16uM	388	2352	9
15	87	6	17	LK89	16uM	432	660	8
1	1	1	18	LK70	N.C	1844	1443	8
1	5	2	18	LK93	N.C	1864	2211	8
1	3	3	18	LK89	N.C	1128	1303	8
1	2	4	18	LK70	N.C	1144	2059	8
1	6	5	18	LK93	N.C	424	1455	8
1	4	6	18	LK89	N.C	432	2219	8
19	1	1	19	LK93	20	1100	2096	2
19	2	2	19	LK89	20	320	2108	2
19	3	3	19	LK93	20	1228	1372	2
19	4	4	19	LK89	20	468	1376	2
19	5	5	19	LK93	20	1076	644	2
19	6	6	19	LK89	20	296	648	2
20	1	1	20	LK89	2	2024	2088	2
20	2	2	20	LK93	2	2016	1316	2
20	3	3	20	LK89	2	2740	2216	2
20	4	4	20	LK93	2	2736	1468	2
20	5	5	20	LK89	2	3436	2060	2
20	6	6	20	LK93	2	3432	1312	2
